supporter_id,supporter_type,display_name,organization_name,first_name,last_name,relationship_type,region,country,email,phone,status,created_at,first_donation_date,acquisition_channel,donation_count,monetary_donation_count,non_monetary_donation_count,total_monetary_amount,total_resolved_value,avg_monetary_amount,first_donation_date_actual,last_donation_date,recurring_donation_count,campaign_count,channel_diversity,donation_type_diversity,social_referral_donation_count,donation_active_days,donation_recency_days,recurring_donation_share,donation_frequency_per_365d,total_allocated_amount,allocation_safehouse_diversity,allocation_program_diversity,in_kind_item_line_count,in_kind_quantity_total,in_kind_category_diversity,in_kind_estimated_value_total,supporter_tenure_days,has_any_donation,label_lapsed_180d
46,PartnerOrganization,Faith Alliance,Faith Alliance,,,Local,Luzon,Philippines,faith-alliance@faithalliance.ph,+63 906 185 8022,Inactive,2022-08-14,2025-04-22,Event,5.0,3.0,2.0,2030.53,2048.05,676.8433333333334,2024-02-15,2025-09-02,0.0,1.0,4.0,3.0,2.0,565.0,180.0,0.0,3.230088495575221,2048.05,6.0,4.0,0.0,0.0,0.0,0.0,1295,True,1
47,MonetaryDonor,Kaya Ward,,Kaya,Ward,Local,Luzon,Philippines,kaya-ward@globe.com.ph,+63 920 434 6529,Inactive,2022-08-19,2025-10-07,SocialMedia,6.0,3.0,3.0,6472.17,7264.21,2157.39,2024-03-17,2025-10-07,0.0,2.0,4.0,3.0,1.0,569.0,145.0,0.0,3.8488576449912126,7159.21,5.0,4.0,2.0,50.0,1.0,950.61,1290,True,0
48,SkillsContributor,Ian Xu,,Ian,Xu,PartnerOrganization,Luzon,Philippines,ian-xu@pldt.net.ph,+63 926 581 1317,Inactive,2022-08-24,2024-05-04,PartnerReferral,4.0,3.0,1.0,1804.69,2257.28,601.5633333333334,2024-05-04,2025-11-20,4.0,3.0,3.0,2.0,0.0,565.0,101.0,1.0,2.584070796460177,2257.28,2.0,4.0,1.0,10.0,1.0,813.7,1285,True,0
49,SkillsContributor,Faye Yu,,Faye,Yu,PartnerOrganization,Luzon,Philippines,faye-yu@yahoo.com.ph,+63 999 141 1508,Inactive,2022-08-29,2026-01-22,Website,4.0,0.0,4.0,0.0,1952.98,0.0,2023-12-01,2026-01-22,0.0,1.0,4.0,2.0,0.0,783.0,38.0,0.0,1.8646232439335888,1952.98,2.0,4.0,5.0,68.0,2.0,2122.0,1280,True,0
50,PartnerOrganization,Bright Foundation,Bright Foundation,,,Local,Visayas,Philippines,bright-foundation@brightfoundation.ph,+63 935 677 4571,Inactive,2022-09-03,2025-01-24,Event,4.0,2.0,2.0,2510.09,3201.4,1255.045,2024-04-13,2025-07-08,0.0,1.0,4.0,3.0,1.0,451.0,236.0,0.0,3.237250554323725,3201.4,3.0,3.0,1.0,5.0,1.0,1195.2,1275,True,1
51,InKindDonor,Mira Bello,,Mira,Bello,Local,Luzon,Philippines,mira-bello@yahoo.com.ph,+63 945 418 2771,Inactive,2022-09-08,2026-01-06,WordOfMouth,6.0,4.0,2.0,2614.93,2653.68,653.7325,2023-05-11,2026-02-27,0.0,2.0,4.0,2.0,1.0,1023.0,2.0,0.0,2.1407624633431084,2213.19,3.0,5.0,0.0,0.0,0.0,0.0,1270,True,0
52,InKindDonor,Cole Cruz,,Cole,Cruz,International,Mindanao,USA,cole-cruz@gmail.com,+1 (347) 403-2245,Inactive,2022-09-13,2024-05-16,Church,6.0,3.0,3.0,3157.76,4305.91,1052.5866666666668,2023-01-17,2024-09-17,6.0,2.0,4.0,3.0,1.0,609.0,530.0,1.0,3.5960591133004924,3939.28,5.0,4.0,2.0,28.0,2.0,2022.68,1265,True,1
53,Volunteer,Dina DelosReyes,,Dina,DelosReyes,Local,Mindanao,Philippines,dina-delosreyes@pldt.net.ph,+63 992 714 2983,Inactive,2022-09-18,2024-11-09,WordOfMouth,2.0,1.0,1.0,2263.85,2271.28,2263.85,2023-12-17,2024-11-09,0.0,1.0,2.0,2.0,0.0,328.0,477.0,0.0,2.225609756097561,2271.28,2.0,2.0,0.0,0.0,0.0,0.0,1260,True,1
54,SkillsContributor,Sara Escobar,,Sara,Escobar,Local,Visayas,Philippines,sara-escobar@pldt.net.ph,+63 917 618 6590,Inactive,2022-09-23,2023-09-25,Event,23.0,10.0,13.0,8008.309999999999,11932.35,800.8309999999999,2023-03-13,2025-11-23,23.0,3.0,5.0,5.0,4.0,986.0,98.0,1.0,8.51419878296146,11213.52,7.0,6.0,7.0,102.0,5.0,3318.86,1255,True,0
55,MonetaryDonor,Kian Farah,,Kian,Farah,Local,Luzon,Philippines,kian-farah@pldt.net.ph,+63 998 948 8532,Inactive,2022-09-28,2023-11-03,SocialMedia,6.0,4.0,2.0,12059.47,12074.79,3014.8675000000003,2023-05-10,2025-06-16,0.0,2.0,4.0,3.0,1.0,768.0,258.0,0.0,2.8515625,12072.96,4.0,4.0,0.0,0.0,0.0,0.0,1250,True,1
56,SkillsContributor,Lyle Gomez,,Lyle,Gomez,International,Luzon,USA,lyle-gomez@gmail.com,+1 (469) 751-8921,Inactive,2022-10-03,2024-03-04,Church,4.0,1.0,3.0,593.89,1581.93,593.89,2023-03-29,2026-01-05,0.0,1.0,3.0,2.0,0.0,1013.0,55.0,0.0,1.441263573543929,1581.93,3.0,3.0,3.0,56.0,2.0,1043.71,1245,True,0
57,InKindDonor,Paz Hale,,Paz,Hale,International,Mindanao,USA,paz-hale@gmail.com,+1 (818) 288-5569,Inactive,2022-10-08,2025-12-06,SocialMedia,2.0,1.0,1.0,1194.06,1731.4299999999998,1194.06,2023-12-05,2025-12-06,0.0,1.0,1.0,2.0,0.0,732.0,85.0,0.0,0.9972677595628416,1731.4299999999998,3.0,2.0,2.0,24.0,2.0,1623.34,1240,True,0
58,SocialMediaAdvocate,Rico Iglesias,,Rico,Iglesias,Local,Luzon,Philippines,rico-iglesias@smart.com.ph,+63 978 129 9098,Inactive,2022-10-13,2023-01-09,WordOfMouth,3.0,1.0,2.0,250.0,870.43,250.0,2023-01-09,2024-01-17,0.0,1.0,3.0,3.0,0.0,373.0,774.0,0.0,2.935656836461126,870.43,3.0,2.0,1.0,21.0,1.0,1071.34,1235,True,1
59,SocialMediaAdvocate,Lea Jain,,Lea,Jain,Local,Luzon,Philippines,lea-jain@pldt.net.ph,+63 967 710 5526,Inactive,2022-10-18,2025-03-05,WordOfMouth,4.0,1.0,3.0,695.6,1368.02,695.6,2023-03-08,2025-10-02,0.0,0.0,4.0,3.0,1.0,939.0,150.0,0.0,1.554845580404686,1368.03,5.0,2.0,2.0,19.0,2.0,1591.4,1230,True,0
60,InKindDonor,Tess Khan,,Tess,Khan,Local,Visayas,Philippines,tess-khan@smart.com.ph,+63 928 668 4937,Inactive,2022-10-23,2023-08-14,Website,6.0,6.0,0.0,3976.01,3976.01,662.6683333333334,2023-04-12,2025-05-29,6.0,2.0,4.0,1.0,0.0,778.0,276.0,1.0,2.814910025706941,3679.22,6.0,4.0,0.0,0.0,0.0,0.0,1225,True,1
